Provinsi,AHH,sanitasilayak,faskes,RLS,IPM
ACEH,68.04,12.77,429,18.67,77.28
SUMATERA UTARA,67.22,4.48,828,19.1,77.8
SUMATERA BARAT,67.59,7.09,355,17.99,77.62
RIAU,69.75,7.5,305,18.27,78.07
JAMBI,69.27,4.05,249,17.08,76.81
SUMATERA SELATAN,68,4.62,429,16.47,75.33
BENGKULU,67.47,3.67,203,17.68,76.9
LAMPUNG,68.78,2.66,392,16.09,74.97
KEP. BANGKA BELITUNG,68.77,6.74,89,16.08,76.94
KEP. RIAU,68.08,10.68,124,20.23,81.17
DKI JAKARTA,71.1,15.83,507,22.26,84.39
JAWA BARAT,71.3,8.57,1459,17.08,76.54
JAWA TENGAH,72.51,10.51,1188,15.4,75.87
DI YOGYAKARTA,73.22,13.63,204,19.12,82.76
JAWA TIMUR,69.42,7.22,1360,15.6,77.3
BANTEN,68.08,10.43,364,17.78,78.42
BALI,70.28,13.76,197,17.89,79.5
NUSA TENGGARA BARAT,64.63,4.91,213,14.72,74.99
NUSA TENGGARA TIMUR,65.15,0.6,463,15.29,70.95
KALIMANTAN BARAT,68.8,3.13,300,14.72,73.57
KALIMANTAN TENGAH,67.84,5.26,232,17.14,76.78
KALIMANTAN SELATAN,66.76,2.83,282,16.58,77.62
KALIMANTAN TIMUR,72.54,5.97,243,19.49,81
KALIMANTAN UTARA,70.63,2.56,66,18.47,75.72
SULAWESI UTARA,69.82,5.41,244,18.98,77
SULAWESI TENGAH,66.77,3.08,247,17.65,74.11
SULAWESI SELATAN,68.68,4.74,575,16.78,77.04
SULAWESI TENGGARA,69.31,1.12,329,18.1,76.02
GORONTALO,66.14,2.98,109,15.62,72.37
SULAWESI BARAT,63.2,2.39,108,15.79,72.58
MALUKU,64.12,2.44,246,19.87,74.9
MALUKU UTARA,66.43,1.68,168,18.08,74.54
PAPUA BARAT,64.2,2.84,181,17.71,73.68
PAPUA,64.02,2.32,476,13.31,66.75
